Property State,YearMonth,UnemploymentRate,HPI (Seasonally Adjusted)
AL,199901,4.9,135.16
AL,199902,5.1,135.16
AL,199903,4.5,135.16
AL,199904,4.4,136.02
AL,199905,4.3,136.02
AL,199906,5.1,136.02
AL,199907,5.0,137.29
AL,199908,5.0,137.29
AL,199909,4.8,137.29
AL,199910,4.6,137.96
AL,199911,4.5,137.96
AL,199912,4.4,137.96
AL,200001,5.1,139.42
AL,200002,5.1,139.42
AL,200003,4.7,139.42
AL,200004,4.1,140.76
AL,200005,4.3,140.76
AL,200006,4.9,140.76
AL,200007,4.9,141.46
AL,200008,5.0,141.46
AL,200009,4.5,141.46
AL,200010,4.5,142.05
AL,200011,4.4,142.05
AL,200012,4.3,142.05
AL,200101,5.2,142.52
AL,200102,5.0,142.52
AL,200103,4.8,142.52
AL,200104,4.5,143.92
AL,200105,4.3,143.92
AL,200106,5.3,143.92
AL,200107,5.1,145.04
AL,200108,5.6,145.04
AL,200109,5.3,145.04
AL,200110,5.5,146.0
AL,200111,5.6,146.0
AL,200112,5.6,146.0
AL,200201,6.3,147.09
AL,200202,6.2,147.09
AL,200203,5.9,147.09
AL,200204,5.4,148.14
AL,200205,5.3,148.14
AL,200206,6.3,148.14
AL,200207,6.2,149.35
AL,200208,6.2,149.35
AL,200209,5.7,149.35
AL,200210,5.7,150.18
AL,200211,5.8,150.18
AL,200212,5.7,150.18
AL,200301,6.3,152.96
AL,200302,6.2,152.96
AL,200303,5.8,152.96
AL,200304,5.4,153.98
AL,200305,5.5,153.98
AL,200306,6.6,153.98
AL,200307,6.1,155.31
AL,200308,6.2,155.31
AL,200309,5.9,155.31
AL,200310,5.8,158.17
AL,200311,5.9,158.17
AL,200312,5.6,158.17
AL,200401,6.4,158.75
AL,200402,6.1,158.75
AL,200403,5.9,158.75
AL,200404,5.3,160.05
AL,200405,5.3,160.05
AL,200406,6.0,160.05
AL,200407,5.8,162.65
AL,200408,5.7,162.65
AL,200409,5.3,162.65
AL,200410,5.2,165.94
AL,200411,5.1,165.94
AL,200412,4.9,165.94
AL,200501,5.4,168.26
AL,200502,5.4,168.26
AL,200503,4.6,168.26
AL,200504,4.1,171.3
AL,200505,4.0,171.3
AL,200506,4.8,171.3
AL,200507,4.5,173.99
AL,200508,4.3,173.99
AL,200509,4.2,173.99
AL,200510,4.1,177.65
AL,200511,4.0,177.65
AL,200512,3.9,177.65
AL,200601,4.6,182.62
AL,200602,4.5,182.62
AL,200603,4.1,182.62
AL,200604,3.7,187.1
AL,200605,3.6,187.1
AL,200606,4.4,187.1
AL,200607,4.4,190.49
AL,200608,4.2,190.49
AL,200609,3.8,190.49
AL,200610,3.6,193.17
AL,200611,3.7,193.17
AL,200612,3.6,193.17
AL,200701,4.3,195.74
AL,200702,4.2,195.74
AL,200703,3.8,195.74
AL,200704,3.4,198.28
AL,200705,3.5,198.28
AL,200706,4.4,198.28
AL,200707,4.4,200.5
AL,200708,4.3,200.5
AL,200709,4.1,200.5
AL,200710,3.9,200.01
AL,200711,4.1,200.01
AL,200712,4.4,200.01
AL,200801,5.1,200.29
AL,200802,5.0,200.29
AL,200803,4.9,200.29
AL,200804,4.4,198.59
AL,200805,5.1,198.59
AL,200806,6.1,198.59
AL,200807,6.3,196.59
AL,200808,6.5,196.59
AL,200809,6.4,196.59
AL,200810,6.7,193.55
AL,200811,6.9,193.55
AL,200812,7.4,193.55
AL,200901,8.5,190.85
AL,200902,9.0,190.85
AL,200903,8.8,190.85
AL,200904,8.4,191.46
AL,200905,8.9,191.46
AL,200906,10.0,191.46
AL,200907,10.3,190.53
AL,200908,10.5,190.53
AL,200909,10.6,190.53
AL,200910,10.7,185.38
AL,200911,10.5,185.38
AL,200912,10.7,185.38
AL,201001,11.6,192.06
AL,201002,11.3,192.06
AL,201003,10.9,192.06
AL,201004,10.1,184.14
AL,201005,9.9,184.14
AL,201006,10.4,184.14
AL,201007,10.3,180.73
AL,201008,10.3,180.73
AL,201009,10.0,180.73
AL,201010,9.9,179.14
AL,201011,10.1,179.14
AL,201012,9.9,179.14
AL,201101,10.5,175.02
AL,201102,10.3,175.02
AL,201103,9.8,175.02
AL,201104,9.3,171.33
AL,201105,9.3,171.33
AL,201106,10.3,171.33
AL,201107,10.0,170.17
AL,201108,9.7,170.17
AL,201109,9.5,170.17
AL,201110,9.0,171.02
AL,201111,8.5,171.02
AL,201112,8.4,171.02
AL,201201,9.0,170.95
AL,201202,8.8,170.95
AL,201203,8.4,170.95
AL,201204,7.7,172.89
AL,201205,7.9,172.89
AL,201206,8.8,172.89
AL,201207,8.7,176.3
AL,201208,8.4,176.3
AL,201209,7.8,176.3
AL,201210,7.6,172.42
AL,201211,7.3,172.42
AL,201212,7.5,172.42
AL,201301,8.3,176.32
AL,201302,8.0,176.32
AL,201303,7.3,176.32
AL,201304,6.7,177.28
AL,201305,6.9,177.28
AL,201306,7.8,177.28
AL,201307,7.6,179.33
AL,201308,7.5,179.33
AL,201309,7.2,179.33
AL,201310,7.2,180.03
AL,201311,6.9,180.03
AL,201312,6.8,180.03
AL,201401,7.5,180.69
AL,201402,7.5,180.69
AL,201403,7.2,180.69
AL,201404,6.3,182.14
AL,201405,6.5,182.14
AL,201406,7.1,182.14
AL,201407,7.3,181.47
AL,201408,7.1,181.47
AL,201409,6.5,181.47
AL,201410,6.2,183.0
AL,201411,6.1,183.0
AL,201412,5.9,183.0
AL,201501,6.7,185.64
AL,201502,6.4,185.64
AL,201503,6.0,185.64
AL,201504,5.6,185.37
AL,201505,5.9,185.37
AL,201506,6.4,185.37
AL,201507,6.5,188.72
AL,201508,6.2,188.72
AL,201509,5.9,188.72
AL,201510,5.9,189.42
AL,201511,5.8,189.42
AL,201512,5.8,189.42
AL,201601,6.3,189.84
AL,201602,6.2,189.84
AL,201603,5.9,189.84
AL,201604,5.4,192.15
AL,201605,5.3,192.15
AL,201606,6.1,192.15
AL,201607,6.0,193.98
AL,201608,5.9,193.98
AL,201609,5.9,193.98
AL,201610,5.7,196.31
AL,201611,5.3,196.31
AL,201612,5.4,196.31
AL,201701,6.0,198.2
AL,201702,5.6,198.2
AL,201703,4.9,198.2
AL,201704,4.3,199.64
AL,201705,4.2,199.64
AL,201706,4.8,199.64
AL,201707,4.7,202.19
AL,201708,4.5,202.19
AL,201709,4.0,202.19
AL,201710,3.8,204.43
AL,201711,3.8,204.43
AL,201712,3.7,204.43
AL,201801,4.4,207.8
AL,201802,4.3,207.8
AL,201803,4.0,207.8
AL,201804,3.5,209.96
AL,201805,3.5,209.96
AL,201806,4.5,209.96
AL,201807,4.2,213.33
AL,201808,4.1,213.33
AL,201809,3.7,213.33
AL,201810,3.7,215.81
AL,201811,3.4,215.81
AL,201812,3.6,215.81
AL,201901,4.3,218.03
AL,201902,3.8,218.03
AL,201903,3.5,218.03
AL,201904,2.8,222.09
AL,201905,2.7,222.09
AL,201906,3.4,222.09
AL,201907,3.3,224.41
AL,201908,3.3,224.41
AL,201909,2.8,224.41
AL,201910,2.8,228.09
AL,201911,2.8,228.09
AL,201912,2.9,228.09
AL,202001,3.6,232.41
AL,202002,3.4,232.41
AL,202003,3.7,232.41
AL,202004,13.1,238.26
AL,202005,10.2,238.26
AL,202006,8.9,238.26
AL,202007,8.0,239.47
AL,202008,6.4,239.47
AL,202009,6.0,239.47
AL,202010,4.9,246.68
AL,202011,4.6,246.68
AL,202012,4.3,246.68
AL,202101,4.5,258.35
AL,202102,4.1,258.35
AL,202103,3.7,258.35
AL,202104,3.3,265.2
AL,202105,3.1,265.2
AL,202106,4.0,265.2
AL,202107,3.7,277.88
AL,202108,3.5,277.88
AL,202109,2.9,277.88
AL,202110,2.7,290.67
AL,202111,2.4,290.67
AL,202112,2.3,290.67
AL,202201,3.1,302.9
AL,202202,2.9,302.9
AL,202203,2.4,302.9
AL,202204,2.0,314.59
AL,202205,2.2,314.59
AL,202206,3.0,314.59
AL,202207,2.9,323.49
AL,202208,2.9,323.49
AL,202209,2.4,323.49
AL,202210,2.4,328.59
AL,202211,2.2,328.59
AL,202212,2.0,328.59
AL,202301,2.6,332.94
AL,202302,2.5,332.94
AL,202303,2.2,332.94
AL,202304,1.8,338.55
AL,202305,2.0,338.55
AL,202306,2.7,338.55
AL,202307,2.6,338.77
AL,202308,2.8,338.77
AL,202309,2.6,338.77
AL,202310,2.6,346.96
AL,202311,2.5,346.96
AL,202312,2.6,346.96
AL,202401,3.2,348.95
AL,202402,3.2,348.95
AL,202403,2.8,348.95
AL,202404,2.4,349.75
AL,202405,2.4,349.75
AL,202406,3.3,349.75
AL,202407,3.4,358.48
AL,202408,3.5,358.48
AL,202409,3.1,358.48
AL,202410,3.2,360.53
AL,202411,3.3,360.53
AL,202412,3.2,360.53
AL,202501,3.4,365.64
AL,202502,3.4,365.64
AL,202503,3.4,365.64
AK,199901,7.3,131.37
AK,199902,7.8,131.37
AK,199903,7.3,131.37
AK,199904,6.8,132.39
AK,199905,6.5,132.39
AK,199906,6.4,132.39
AK,199907,5.7,132.4
AK,199908,5.1,132.4
AK,199909,5.3,132.4
AK,199910,5.7,133.82
AK,199911,6.2,133.82
AK,199912,6.2,133.82
AK,200001,7.1,131.92
AK,200002,7.2,131.92
AK,200003,7.1,131.92
AK,200004,6.7,133.14
AK,200005,6.4,133.14
AK,200006,6.4,133.14
AK,200007,5.5,135.54
AK,200008,5.3,135.54
AK,200009,5.6,135.54
AK,200010,5.6,137.0
AK,200011,6.3,137.0
AK,200012,6.3,137.0
AK,200101,7.3,137.34
AK,200102,7.1,137.34
AK,200103,7.0,137.34
AK,200104,6.6,140.71
AK,200105,6.0,140.71
AK,200106,6.2,140.71
AK,200107,5.3,143.18
AK,200108,5.2,143.18
AK,200109,5.4,143.18
AK,200110,5.9,145.34
AK,200111,6.6,145.34
AK,200112,6.9,145.34
AK,200201,7.8,149.26
AK,200202,7.7,149.26
AK,200203,7.9,149.26
AK,200204,7.6,149.57
AK,200205,6.8,149.57
AK,200206,7.3,149.57
AK,200207,6.4,152.57
AK,200208,6.2,152.57
AK,200209,6.4,152.57
AK,200210,6.6,156.29
AK,200211,7.5,156.29
AK,200212,7.8,156.29
AK,200301,8.5,157.72
AK,200302,8.7,157.72
AK,200303,8.4,157.72
AK,200304,8.1,161.03
AK,200305,7.5,161.03
AK,200306,8.0,161.03
AK,200307,7.0,163.27
AK,200308,6.6,163.27
AK,200309,6.8,163.27
AK,200310,7.0,165.62
AK,200311,7.8,165.62
AK,200312,7.7,165.62
AK,200401,8.6,171.27
AK,200402,8.6,171.27
AK,200403,8.6,171.27
AK,200404,7.9,175.51
AK,200405,7.4,175.51
AK,200406,7.6,175.51
AK,200407,6.5,177.49
AK,200408,6.1,177.49
AK,200409,6.4,177.49
AK,200410,6.7,183.48
AK,200411,7.3,183.48
AK,200412,7.4,183.48
AK,200501,8.0,187.9
AK,200502,8.2,187.9
AK,200503,7.7,187.9
AK,200504,7.2,192.56
AK,200505,6.7,192.56
AK,200506,6.7,192.56
AK,200507,6.1,197.1
AK,200508,5.6,197.1
AK,200509,6.2,197.1
AK,200510,6.5,203.99
AK,200511,7.3,203.99
AK,200512,7.2,203.99
AK,200601,7.7,207.53
AK,200602,8.0,207.53
AK,200603,7.5,207.53
AK,200604,7.2,212.89
AK,200605,6.6,212.89
AK,200606,6.5,212.89
AK,200607,6.0,215.8
AK,200608,5.4,215.8
AK,200609,5.7,215.8
AK,200610,5.7,218.02
AK,200611,6.4,218.02
AK,200612,6.6,218.02
AK,200701,7.3,219.67
AK,200702,7.2,219.67
AK,200703,6.9,219.67
AK,200704,6.6,223.31
AK,200705,6.1,223.31
AK,200706,6.2,223.31
AK,200707,5.6,225.96
AK,200708,5.2,225.96
AK,200709,5.6,225.96
AK,200710,5.6,223.9
AK,200711,6.2,223.9
AK,200712,6.6,223.9
AK,200801,7.2,222.54
AK,200802,7.1,222.54
AK,200803,7.1,222.54
AK,200804,6.5,219.24
AK,200805,6.5,219.24
AK,200806,6.5,219.24
AK,200807,5.9,222.89
AK,200808,5.6,222.89
AK,200809,5.8,222.89
AK,200810,6.1,220.77
AK,200811,6.6,220.77
AK,200812,7.0,220.77
AK,200901,8.2,223.82
AK,200902,8.5,223.82
AK,200903,8.5,223.82
AK,200904,7.9,225.81
AK,200905,7.8,225.81
AK,200906,8.0,225.81
AK,200907,7.2,215.88
AK,200908,6.8,215.88
AK,200909,7.3,215.88
AK,200910,7.8,214.69
AK,200911,8.0,214.69
AK,200912,8.2,214.69
AK,201001,9.2,215.16
AK,201002,9.5,215.16
AK,201003,9.3,215.16
AK,201004,8.4,213.98
AK,201005,7.9,213.98
AK,201006,7.8,213.98
AK,201007,7.1,220.16
AK,201008,6.8,220.16
AK,201009,7.0,220.16
AK,201010,7.3,221.21
AK,201011,8.0,221.21
AK,201012,8.2,221.21
AK,201101,8.8,219.98
AK,201102,8.7,219.98
AK,201103,8.4,219.98
AK,201104,7.9,225.47
AK,201105,7.5,225.47
AK,201106,7.7,225.47
AK,201107,6.9,221.04
AK,201108,6.5,221.04
AK,201109,6.8,221.04
AK,201110,7.0,224.43
AK,201111,7.5,224.43
AK,201112,7.8,224.43
AK,201201,8.2,222.35
AK,201202,8.2,222.35
AK,201203,7.9,222.35
AK,201204,7.3,218.53
AK,201205,7.1,218.53
AK,201206,7.3,218.53
AK,201207,6.7,222.14
AK,201208,6.1,222.14
AK,201209,6.1,222.14
AK,201210,6.3,226.44
AK,201211,6.9,226.44
AK,201212,7.3,226.44
AK,201301,8.2,225.87
AK,201302,7.8,225.87
AK,201303,7.4,225.87
AK,201304,7.0,228.92
AK,201305,6.8,228.92
AK,201306,7.1,228.92
AK,201307,6.3,228.83
AK,201308,5.9,228.83
AK,201309,6.1,228.83
AK,201310,6.7,228.12
AK,201311,6.9,228.12
AK,201312,6.9,228.12
AK,201401,7.7,230.65
AK,201402,8.0,230.65
AK,201403,7.7,230.65
AK,201404,6.9,229.86
AK,201405,6.6,229.86
AK,201406,6.8,229.86
AK,201407,6.3,233.81
AK,201408,6.0,233.81
AK,201409,6.0,233.81
AK,201410,6.0,234.96
AK,201411,6.5,234.96
AK,201412,6.4,234.96
AK,201501,7.1,239.25
AK,201502,7.2,239.25
AK,201503,6.9,239.25
AK,201504,6.5,240.63
AK,201505,6.3,240.63
AK,201506,6.3,240.63
AK,201507,5.6,240.25
AK,201508,5.2,240.25
AK,201509,5.5,240.25
AK,201510,6.0,241.07
AK,201511,6.4,241.07
AK,201512,6.7,241.07
AK,201601,7.1,244.89
AK,201602,7.4,244.89
AK,201603,7.2,244.89
AK,201604,6.9,245.2
AK,201605,6.4,245.2
AK,201606,6.7,245.2
AK,201607,6.1,247.58
AK,201608,5.7,247.58
AK,201609,6.2,247.58
AK,201610,6.3,246.82
AK,201611,6.6,246.82
AK,201612,6.8,246.82
AK,201701,7.6,246.46
AK,201702,7.5,246.46
AK,201703,7.2,246.46
AK,201704,6.8,249.62
AK,201705,6.4,249.62
AK,201706,6.6,249.62
AK,201707,6.1,247.49
AK,201708,5.9,247.49
AK,201709,5.9,247.49
AK,201710,6.0,252.64
AK,201711,6.5,252.64
AK,201712,6.8,252.64
AK,201801,7.4,249.71
AK,201802,7.3,249.71
AK,201803,6.8,249.71
AK,201804,6.5,254.64
AK,201805,5.8,254.64
AK,201806,6.2,254.64
AK,201807,5.3,253.34
AK,201808,5.0,253.34
AK,201809,5.1,253.34
AK,201810,5.4,253.06
AK,201811,5.9,253.06
AK,201812,6.3,253.06
AK,201901,7.2,255.19
AK,201902,6.7,255.19
AK,201903,6.5,255.19
AK,201904,5.7,258.89
AK,201905,5.5,258.89
AK,201906,5.7,258.89
AK,201907,5.2,263.82
AK,201908,4.8,263.82
AK,201909,4.7,263.82
AK,201910,4.8,263.85
AK,201911,5.3,263.85
AK,201912,5.4,263.85
AK,202001,5.9,264.14
AK,202002,5.6,264.14
AK,202003,6.9,264.14
AK,202004,11.8,267.4
AK,202005,12.0,267.4
AK,202006,11.2,267.4
AK,202007,10.4,271.82
AK,202008,7.2,271.82
AK,202009,7.3,271.82
AK,202010,6.7,273.02
AK,202011,7.2,273.02
AK,202012,7.2,273.02
AK,202101,7.5,287.41
AK,202102,7.8,287.41
AK,202103,7.7,287.41
AK,202104,7.5,290.1
AK,202105,6.8,290.1
AK,202106,7.0,290.1
AK,202107,5.9,296.81
AK,202108,5.1,296.81
AK,202109,5.2,296.81
AK,202110,5.2,309.82
AK,202111,5.4,309.82
AK,202112,5.3,309.82
AK,202201,6.1,317.42
AK,202202,5.7,317.42
AK,202203,5.0,317.42
AK,202204,4.5,323.65
AK,202205,4.1,323.65
AK,202206,4.3,323.65
AK,202207,3.6,332.12
AK,202208,3.0,332.12
AK,202209,3.2,332.12
AK,202210,3.6,339.96
AK,202211,4.1,339.96
AK,202212,4.0,339.96
AK,202301,4.7,336.73
AK,202302,4.8,336.73
AK,202303,4.4,336.73
AK,202304,4.0,343.97
AK,202305,4.0,343.97
AK,202306,4.4,343.97
AK,202307,3.7,347.84
AK,202308,3.7,347.84
AK,202309,3.9,347.84
AK,202310,4.1,349.18
AK,202311,4.4,349.18
AK,202312,4.6,349.18
AK,202401,5.1,358.13
AK,202402,5.3,358.13
AK,202403,4.8,358.13
AK,202404,4.5,361.04
AK,202405,4.3,361.04
AK,202406,4.9,361.04
AK,202407,4.4,365.32
AK,202408,4.1,365.32
AK,202409,4.0,365.32
AK,202410,4.4,371.44
AK,202411,4.9,371.44
AK,202412,4.7,371.44
AK,202501,5.4,376.01
AK,202502,5.4,376.01
AK,202503,4.9,376.01
AZ,199901,4.5,138.78
AZ,199902,4.4,138.78
AZ,199903,4.3,138.78
AZ,199904,4.5,141.06
AZ,199905,4.5,141.06
AZ,199906,5.0,141.06
AZ,199907,5.2,142.94
AZ,199908,4.9,142.94
AZ,199909,4.6,142.94
AZ,199910,4.2,145.19
AZ,199911,3.9,145.19
AZ,199912,3.8,145.19
AZ,200001,4.3,146.93
AZ,200002,3.9,146.93
AZ,200003,3.8,146.93
AZ,200004,3.5,149.48
AZ,200005,3.8,149.48
AZ,200006,4.3,149.48
AZ,200007,4.5,151.3
AZ,200008,4.5,151.3
AZ,200009,4.0,151.3
AZ,200010,3.8,152.94
AZ,200011,3.6,152.94
AZ,200012,3.5,152.94
AZ,200101,4.2,155.54
AZ,200102,3.9,155.54
AZ,200103,4.1,155.54
AZ,200104,4.0,157.64
AZ,200105,4.0,157.64
AZ,200106,4.8,157.64
AZ,200107,4.8,160.25
AZ,200108,5.3,160.25
AZ,200109,5.2,160.25
AZ,200110,5.4,162.44
AZ,200111,5.4,162.44
AZ,200112,5.6,162.44
AZ,200201,6.3,165.49
AZ,200202,6.0,165.49
AZ,200203,6.0,165.49
AZ,200204,6.0,166.7
AZ,200205,6.0,166.7
AZ,200206,6.7,166.7
AZ,200207,6.8,169.38
AZ,200208,6.6,169.38
AZ,200209,6.1,169.38
AZ,200210,6.0,172.08
AZ,200211,6.0,172.08
AZ,200212,5.7,172.08
AZ,200301,6.1,175.88
AZ,200302,5.8,175.88
AZ,200303,5.7,175.88
AZ,200304,5.6,179.41
AZ,200305,5.7,179.41
AZ,200306,6.5,179.41
AZ,200307,6.4,182.27
AZ,200308,6.2,182.27
AZ,200309,5.8,182.27
AZ,200310,5.4,186.05
AZ,200311,5.1,186.05
AZ,200312,5.0,186.05
AZ,200401,5.6,192.41
AZ,200402,5.2,192.41
AZ,200403,5.1,192.41
AZ,200404,5.0,198.36
AZ,200405,4.9,198.36
AZ,200406,5.4,198.36
AZ,200407,5.3,204.94
AZ,200408,5.1,204.94
AZ,200409,4.9,204.94
AZ,200410,4.6,215.18
AZ,200411,4.4,215.18
AZ,200412,4.1,215.18
AZ,200501,4.6,227.92
AZ,200502,4.5,227.92
AZ,200503,4.5,227.92
AZ,200504,4.5,244.16
AZ,200505,4.5,244.16
AZ,200506,4.9,244.16
AZ,200507,5.1,267.1
AZ,200508,4.9,267.1
AZ,200509,4.9,267.1
AZ,200510,4.6,288.18
AZ,200511,4.5,288.18
AZ,200512,4.2,288.18
AZ,200601,4.5,302.8
AZ,200602,4.2,302.8
AZ,200603,4.0,302.8
AZ,200604,4.1,314.58
AZ,200605,4.1,314.58
AZ,200606,4.7,314.58
AZ,200607,5.0,317.96
AZ,200608,4.6,317.96
AZ,200609,4.3,317.96
AZ,200610,4.0,313.69
AZ,200611,3.9,313.69
AZ,200612,3.7,313.69
AZ,200701,4.1,320.1
AZ,200702,3.7,320.1
AZ,200703,3.4,320.1
AZ,200704,3.4,317.86
AZ,200705,3.2,317.86
AZ,200706,3.7,317.86
AZ,200707,4.0,313.3
AZ,200708,3.8,313.3
AZ,200709,3.7,313.3
AZ,200710,3.7,305.51
AZ,200711,3.8,305.51
AZ,200712,4.1,305.51
AZ,200801,4.4,290.26
AZ,200802,4.1,290.26
AZ,200803,4.2,290.26
AZ,200804,4.2,277.04
AZ,200805,5.0,277.04
AZ,200806,5.8,277.04
AZ,200807,6.4,261.3
AZ,200808,6.8,261.3
AZ,200809,6.7,261.3
AZ,200810,6.8,242.07
AZ,200811,7.0,242.07
AZ,200812,7.5,242.07
AZ,200901,8.4,225.6
AZ,200902,8.6,225.6
AZ,200903,8.9,225.6
AZ,200904,8.8,214.8
AZ,200905,9.3,214.8
AZ,200906,10.2,214.8
AZ,200907,10.6,202.09
AZ,200908,10.5,202.09
AZ,200909,10.5,202.09
AZ,200910,10.4,199.87
AZ,200911,10.1,199.87
AZ,200912,10.2,199.87
AZ,201001,10.9,195.62
AZ,201002,10.7,195.62
AZ,201003,10.4,195.62
AZ,201004,10.1,191.24
AZ,201005,10.2,191.24
AZ,201006,10.6,191.24
AZ,201007,10.9,186.1
AZ,201008,10.7,186.1
AZ,201009,10.3,186.1
AZ,201010,10.0,179.56
AZ,201011,10.0,179.56
AZ,201012,9.6,179.56
AZ,201101,10.2,172.77
AZ,201102,9.7,172.77
AZ,201103,9.3,172.77
AZ,201104,9.1,166.69
AZ,201105,9.0,166.69
AZ,201106,10.4,166.69
AZ,201107,10.3,161.38
AZ,201108,9.9,161.38
AZ,201109,9.5,161.38
AZ,201110,9.3,162.29
AZ,201111,8.6,162.29
AZ,201112,8.6,162.29
AZ,201201,8.9,166.9
AZ,201202,8.6,166.9
AZ,201203,8.2,166.9
AZ,201204,7.9,173.24
AZ,201205,8.3,173.24
AZ,201206,8.9,173.24
AZ,201207,9.3,182.51
AZ,201208,8.8,182.51
AZ,201209,8.2,182.51
AZ,201210,8.1,192.83
AZ,201211,7.7,192.83
AZ,201212,7.9,192.83
AZ,201301,8.4,197.63
AZ,201302,7.9,197.63
AZ,201303,7.6,197.63
AZ,201304,7.5,204.9
AZ,201305,7.7,204.9
AZ,201306,8.5,204.9
AZ,201307,8.5,215.21
AZ,201308,8.3,215.21
AZ,201309,7.9,215.21
AZ,201310,7.7,219.68
AZ,201311,7.1,219.68
AZ,201312,7.0,219.68
AZ,201401,7.2,226.55
AZ,201402,7.0,226.55
AZ,201403,6.9,226.55
AZ,201404,6.2,228.47
AZ,201405,6.7,228.47
AZ,201406,7.2,228.47
AZ,201407,7.5,230.38
AZ,201408,7.3,230.38
AZ,201409,6.8,230.38
AZ,201410,6.6,232.5
AZ,201411,6.4,232.5
AZ,201412,6.1,232.5
AZ,201501,6.5,235.73
AZ,201502,6.1,235.73
AZ,201503,5.8,235.73
AZ,201504,5.9,241.09
AZ,201505,6.0,241.09
AZ,201506,6.5,241.09
AZ,201507,6.8,244.25
AZ,201508,6.5,244.25
AZ,201509,6.1,244.25
AZ,201510,6.0,250.0
AZ,201511,5.7,250.0
AZ,201512,5.5,250.0
AZ,201601,5.6,253.92
AZ,201602,5.4,253.92
AZ,201603,5.3,253.92
AZ,201604,5.4,258.27
AZ,201605,5.3,258.27
AZ,201606,5.9,258.27
AZ,201607,6.0,263.57
AZ,201608,5.8,263.57
AZ,201609,5.6,263.57
AZ,201610,5.4,266.33
AZ,201611,5.0,266.33
AZ,201612,5.0,266.33
AZ,201701,5.3,272.6
AZ,201702,5.1,272.6
AZ,201703,4.8,272.6
AZ,201704,4.7,277.94
AZ,201705,4.8,277.94
AZ,201706,5.3,277.94
AZ,201707,5.4,283.93
AZ,201708,5.3,283.93
AZ,201709,4.9,283.93
AZ,201710,4.6,289.68
AZ,201711,4.6,289.68
AZ,201712,4.6,289.68
AZ,201801,5.0,293.71
AZ,201802,4.8,293.71
AZ,201803,4.5,293.71
AZ,201804,4.5,302.62
AZ,201805,4.4,302.62
AZ,201806,5.2,302.62
AZ,201807,5.2,306.62
AZ,201808,5.1,306.62
AZ,201809,4.8,306.62
AZ,201810,4.7,311.72
AZ,201811,4.6,311.72
AZ,201812,4.9,311.72
AZ,201901,5.3,318.99
AZ,201902,4.8,318.99
AZ,201903,4.7,318.99
AZ,201904,4.5,321.23
AZ,201905,4.7,321.23
AZ,201906,5.2,321.23
AZ,201907,5.4,327.77
AZ,201908,5.1,327.77
AZ,201909,4.6,327.77
AZ,201910,4.6,335.35
AZ,201911,4.4,335.35
AZ,201912,4.3,335.35
AZ,202001,4.7,344.33
AZ,202002,4.5,344.33
AZ,202003,5.3,344.33
AZ,202004,13.2,352.83
AZ,202005,11.2,352.83
AZ,202006,10.2,352.83
AZ,202007,9.9,359.0
AZ,202008,8.1,359.0
AZ,202009,7.5,359.0
AZ,202010,6.6,373.63
AZ,202011,6.3,373.63
AZ,202012,6.3,373.63
AZ,202101,6.4,393.78
AZ,202102,6.2,393.78
AZ,202103,5.7,393.78
AZ,202104,5.6,416.25
AZ,202105,5.5,416.25
AZ,202106,6.0,416.25
AZ,202107,5.4,444.77
AZ,202108,4.9,444.77
AZ,202109,4.3,444.77
AZ,202110,3.8,476.97
AZ,202111,3.4,476.97
AZ,202112,3.1,476.97
AZ,202201,3.8,501.49
AZ,202202,3.6,501.49
AZ,202203,3.3,501.49
AZ,202204,3.4,529.57
AZ,202205,3.6,529.57
AZ,202206,4.2,529.57
AZ,202207,4.2,552.1
AZ,202208,4.3,552.1
AZ,202209,3.9,552.1
AZ,202210,3.8,539.58
AZ,202211,3.5,539.58
AZ,202212,3.3,539.58
AZ,202301,3.5,530.07
AZ,202302,3.5,530.07
AZ,202303,3.4,530.07
AZ,202304,3.3,532.58
AZ,202305,3.7,532.58
AZ,202306,4.1,532.58
AZ,202307,4.2,537.51
AZ,202308,4.2,537.51
AZ,202309,3.9,537.51
AZ,202310,3.8,550.57
AZ,202311,3.4,550.57
AZ,202312,3.2,550.57
AZ,202401,3.4,565.23
AZ,202402,3.3,565.23
AZ,202403,3.0,565.23
AZ,202404,2.9,561.43
AZ,202405,3.3,561.43
AZ,202406,4.0,561.43
AZ,202407,4.3,567.18
AZ,202408,4.2,567.18
AZ,202409,3.8,567.18
AZ,202410,3.8,566.85
AZ,202411,3.7,566.85
AZ,202412,3.5,566.85
AZ,202501,3.9,572.13
AZ,202502,3.9,572.13
AZ,202503,4.0,572.13
AR,199901,5.4,132.37
AR,199902,5.2,132.37
AR,199903,4.6,132.37
AR,199904,4.3,133.77
AR,199905,4.3,133.77
AR,199906,4.9,133.77
AR,199907,5.0,134.63
AR,199908,4.4,134.63
AR,199909,4.3,134.63
AR,199910,3.8,135.63
AR,199911,3.9,135.63
AR,199912,4.1,135.63
AR,200001,4.9,136.5
AR,200002,4.9,136.5
AR,200003,4.5,136.5
AR,200004,3.8,136.97
AR,200005,4.1,136.97
AR,200006,4.3,136.97
AR,200007,4.5,139.18
AR,200008,4.2,139.18
AR,200009,3.8,139.18
AR,200010,3.4,139.39
AR,200011,3.7,139.39
AR,200012,3.9,139.39
AR,200101,5.0,140.73
AR,200102,4.9,140.73
AR,200103,4.6,140.73
AR,200104,4.4,142.68
AR,200105,4.4,142.68
AR,200106,5.0,142.68
